der Brautwerber,der Brautführer
 ein Kerb,ein Spalt
 ein wunderlicher,tummer Kopff
 die Art,die Weise,die Anleitung,die Weise,die Anleitung
 die glatte,schlechte Rinde
 die Gleiche Slub,das Gelübde
 der Piltz,der Pfifferling
 der Schacht,die Fund-Grube
 die Form,die Art
 der Leitstrang,der Rimsel
 der bogensessel,der Stulgang
 ein Kammer-Stuben-Gesell,ein Mitwohner
 der Bote,der Gesandter
 der Vogelkorb,eine Vogelheck
 ein Pfeiler,ein Stütze
 das Holtz,der Block
 die Kotz,ein alt zerlumptes Kleid
 ein Wäscher,ein Plauderer
 der spring-Reuter,der von einem Pferde auff das andere sich setzet.
 ein Ordner,zusammensetzer
 ein Nachsinner,ein Ausßleger
 Wasserbrenner,Distilirer
 ein Schreyer,ein Ruffer
 die Süsse,als
 die Stange,daran Bohnen,die Hopffen wächset,daran Bohnen,die Hopffen wächset
 die Spur,die Fußstapffen
 der Estrich,der Boden
 das Pfand,die Wette
 ungern,uwillig
 der Vorelter Vater,der
 der Paß,der Durchzug
 die Abfahrt,das abfahren w Iazd,die Einfarth,das abfahren w Iazd,die Einfarth
 die Kirchen Ceremonien,die Gebrauch
 die Veranlassung,die Anleitung Gelegenheit
 die Frucht,die Geburth
 das Geschlecht,der Stamm
 der Kreusel,der Wirbel
 der rundte Kreiß,die rundte Gestalt, Umbfang,die rundte Gestalt, Umbfang
 eine Fosige,ein Fosig Wagen
 Esel,Spinnen,,Spinnen,
 der Rührstecken,die Ofenkrücke
 die Furcht,die Schrecken
 ein Wallach,ein verschnitten Roß
 die Zeche,das Mittel
 der Kelch,der Becher
 geschabte Leinwand davon die Bar- bierer wicken drehen,in die Wunden zu legen
 Milch Peltz,Milch Haut
 die Prange,die Staupsaule
 ein drey Creutzer,ein Silbergroschen
 der Brack,der Außschus
 die Spur,der schlag
 der Schaden,der
 der Rotz,der Schnuder
 das schmollen,der Groll
 der Glantz der Sonnen,deß Feuers
 die Breme,grosse Fliege
 Erwerb,erworben Geld
 die Entscheidung,die Urtheil
 ein fauler,hinlässiger Mensch
 ein Stifft,abgebrochen Stück
 der Rabant,der Sillen Strang
 die Rast,die Ruhe
 die Angsthafftigkeit,die Kummer
 die Sort,die Art
 das Glück,zufall
 der Hader,der
 Zusatz,Eintrag
 der Beutel ná pierśi pleszek,der Brust Harnisch
 die Gabe,ein gegeben Ding
 die Außgab-Zádátek,der Mitgroschen
 die Zeit,die Ewigkeit
 der Thon zgodny dźwięk,die zusammenstimmung
 das Gießfaß,das Handbecken
 ein Meer-Fisch,so mit dem Bauch über sich schwimt
 ein Geisel,ein Gegen-Bürg
 der Fürhang,der Schatten
 Steinhauer,Steinbrecher
 der Leinweber,der Leimetreisser
 Paruckmacher,der die Haar krau- se machet
 Car funckelstein,Blutstein
 der Forstmeister łagiewnik,der Flaschenmacher
 ein Iäter,ein Außhacker
 der Hochzeit-Gast,und Hochzeit Vater
